Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Discus,7.08,6.73,,F13,U23,Female,BA,6/15/2004,1/23/2014,1K,,FieldF13U23FemaleDiscus,FieldDiscusF13,FieldDiscusF13U23Female
Field,Discus,2.6,2.47,,F13,U23,Male,BA,6/15/2004,1/23/2014,2K,,FieldF13U23MaleDiscus,FieldDiscusF13,FieldDiscusF13U23Male
Field,Discus,0,0,NoSD,F20,Adults,Female,II,12/6/2011,12/6/2011,1K,,FieldF20AdultsFemaleDiscus,FieldDiscusF20,FieldDiscusF20AdultsFemale
Field,Discus,0,0,NoSD,F20,Adults,Male,II,12/6/2011,12/6/2011,2K,,FieldF20AdultsMaleDiscus,FieldDiscusF20,FieldDiscusF20AdultsMale
Field,Discus,0,0,NoSD,F20,M35,Female,II,12/6/2011,8/18/2013,1K,,FieldF20M35FemaleDiscus,FieldDiscusF20,FieldDiscusF20M35Female
Field,Discus,0,0,NoSD,F20,M35,Male,II,12/6/2011,8/18/2013,2K,,FieldF20M35MaleDiscus,FieldDiscusF20,FieldDiscusF20M35Male
Field,Discus,0,0,NoSD,F20,M50,Female,II,12/6/2011,1/26/2016,.75K,,FieldF20M50FemaleDiscus,FieldDiscusF20,FieldDiscusF20M50Female
Field,Discus,0,0,NoSD,F20,M50,Male,II,12/6/2011,1/26/2016,1.75K,,FieldF20M50MaleDiscus,FieldDiscusF20,FieldDiscusF20M50Male
Field,Discus,0,0,NoSD,F20,M60,Female,II,12/6/2011,1/26/2016,.75K,,FieldF20M60FemaleDiscus,FieldDiscusF20,FieldDiscusF20M60Female
Field,Discus,0,0,NoSD,F20,M60,Male,II,12/6/2011,1/26/2016,1.5K,,FieldF20M60MaleDiscus,FieldDiscusF20,FieldDiscusF20M60Male
Field,Discus,0,0,NoSD,F20,U11,Female,II,12/6/2011,1/23/2014,.75K,,FieldF20U11FemaleDiscus,FieldDiscusF20,FieldDiscusF20U11Female
