Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Event_Group,C_Event,ID
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,Adults,Female,WC,1/31/2012,2/3/2012,TrackT52AdultsFemale800 Meters,Track800 MetersT52,Track800 MetersT52AdultsFemale
Track,800 Meters,05:10.0,05:26.0,,T51,U23,Male,WC,,2/7/2016,TrackT51U23Male800 Meters,Track800 MetersT51,Track800 MetersT51U23Male
Track,800 Meters,08:00.0,08:24.0,,T51,U23,Female,WC,,2/7/2016,TrackT51U23Female800 Meters,Track800 MetersT51,Track800 MetersT51U23Female
Track,800 Meters,05:41.0,05:58.0,,T51,U20,Male,WC,,2/7/2016,TrackT51U20Male800 Meters,Track800 MetersT51,Track800 MetersT51U20Male
Track,800 Meters,08:48.0,09:14.0,,T51,U20,Female,WC,,2/7/2016,TrackT51U20Female800 Meters,Track800 MetersT51,Track800 MetersT51U20Female
Track,800 Meters,06:43.0,07:03.0,,T51,U17,Male,WC,,11/25/2018,TrackT51U17Male800 Meters,Track800 MetersT51,Track800 MetersT51U17Male
Track,800 Meters,10:24.0,10:55.0,,T51,U17,Female,WC,,2/7/2016,TrackT51U17Female800 Meters,Track800 MetersT51,Track800 MetersT51U17Female
Track,800 Meters,00:00.0,00:00.0,No Race,T51,U14,Male,WC,,2/7/2016,TrackT51U14Male800 Meters,Track800 MetersT51,Track800 MetersT51U14Male
Track,800 Meters,00:00.0,00:00.0,No Race,T51,U14,Female,WC,,2/7/2016,TrackT51U14Female800 Meters,Track800 MetersT51,Track800 MetersT51U14Female
Track,800 Meters,00:00.0,00:00.0,No Race,T51,U11,Male,WC,,2/7/2016,TrackT51U11Male800 Meters,Track800 MetersT51,Track800 MetersT51U11Male
Track,800 Meters,00:00.0,00:00.0,No Race,T51,U11,Female,WC,,2/7/2016,TrackT51U11Female800 Meters,Track800 MetersT51,Track800 MetersT51U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M60,Male,WC,1/27/2014,1/27/2014,TrackT51M60Male800 Meters,Track800 MetersT51,Track800 MetersT51M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M60,Female,WC,1/27/2014,1/27/2014,TrackT51M60Female800 Meters,Track800 MetersT51,Track800 MetersT51M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M50,Male,WC,1/27/2014,1/27/2014,TrackT51M50Male800 Meters,Track800 MetersT51,Track800 MetersT51M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M50,Female,WC,1/27/2014,1/27/2014,TrackT51M50Female800 Meters,Track800 MetersT51,Track800 MetersT51M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M35,Male,WC,1/27/2014,1/27/2014,TrackT51M35Male800 Meters,Track800 MetersT51,Track800 MetersT51M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,M35,Female,WC,1/27/2014,1/27/2014,TrackT51M35Female800 Meters,Track800 MetersT51,Track800 MetersT51M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,Adults,Male,WC,1/31/2012,2/3/2012,TrackT51AdultsMale800 Meters,Track800 MetersT51,Track800 MetersT51AdultsMale
Track,800 Meters,00:00.0,00:00.0,NoSD,T51,Adults,Female,WC,1/31/2012,2/3/2012,TrackT51AdultsFemale800 Meters,Track800 MetersT51,Track800 MetersT51AdultsFemale
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U23,Male,DS,,2/7/2016,TrackT47U23Male800 Meters,Track800 MetersT47,Track800 MetersT47U23Male
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U23,Female,DS,,2/7/2016,TrackT47U23Female800 Meters,Track800 MetersT47,Track800 MetersT47U23Female
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U20,Male,DS,,2/7/2016,TrackT47U20Male800 Meters,Track800 MetersT47,Track800 MetersT47U20Male
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U20,Female,DS,,2/7/2016,TrackT47U20Female800 Meters,Track800 MetersT47,Track800 MetersT47U20Female
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U17,Male,DS,,11/25/2018,TrackT47U17Male800 Meters,Track800 MetersT47,Track800 MetersT47U17Male
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U17,Female,DS,,2/7/2016,TrackT47U17Female800 Meters,Track800 MetersT47,Track800 MetersT47U17Female
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U14,Male,DS,,2/7/2016,TrackT47U14Male800 Meters,Track800 MetersT47,Track800 MetersT47U14Male
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U14,Female,DS,,2/7/2016,TrackT47U14Female800 Meters,Track800 MetersT47,Track800 MetersT47U14Female
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U11,Male,DS,,2/7/2016,TrackT47U11Male800 Meters,Track800 MetersT47,Track800 MetersT47U11Male
Track,800 Meters,00:00.0,00:00.0,No Race,T47,U11,Female,DS,,2/7/2016,TrackT47U11Female800 Meters,Track800 MetersT47,Track800 MetersT47U11Female
Track,800 Meters,03:09.0,03:18.0,,T46,U23,Male,DS,,2/7/2016,TrackT46U23Male800 Meters,Track800 MetersT46,Track800 MetersT46U23Male
Track,800 Meters,03:40.0,03:51.0,,T46,U23,Female,DS,,2/7/2016,TrackT46U23Female800 Meters,Track800 MetersT46,Track800 MetersT46U23Female
Track,800 Meters,03:28.0,03:38.0,,T46,U20,Male,DS,,2/7/2016,TrackT46U20Male800 Meters,Track800 MetersT46,Track800 MetersT46U20Male
Track,800 Meters,04:02.0,04:14.0,,T46,U20,Female,DS,,2/7/2016,TrackT46U20Female800 Meters,Track800 MetersT46,Track800 MetersT46U20Female
Track,800 Meters,04:06.0,04:18.0,,T46,U17,Male,DS,,11/25/2018,TrackT46U17Male800 Meters,Track800 MetersT46,Track800 MetersT46U17Male
Track,800 Meters,04:46.0,05:00.0,,T46,U17,Female,DS,,2/7/2016,TrackT46U17Female800 Meters,Track800 MetersT46,Track800 MetersT46U17Female
Track,800 Meters,04:25.0,04:38.0,,T46,U14,Male,DS,,2/7/2016,TrackT46U14Male800 Meters,Track800 MetersT46,Track800 MetersT46U14Male
Track,800 Meters,05:08.0,05:23.0,,T46,U14,Female,DS,,2/7/2016,TrackT46U14Female800 Meters,Track800 MetersT46,Track800 MetersT46U14Female
Track,800 Meters,04:44.0,04:58.0,,T46,U11,Male,DS,,2/7/2016,TrackT46U11Male800 Meters,Track800 MetersT46,Track800 MetersT46U11Male
Track,800 Meters,05:30.0,05:46.0,,T46,U11,Female,DS,,2/7/2016,TrackT46U11Female800 Meters,Track800 MetersT46,Track800 MetersT46U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M60,Male,DS,1/27/2014,1/27/2014,TrackT46M60Male800 Meters,Track800 MetersT46,Track800 MetersT46M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M60,Female,DS,1/27/2014,1/27/2014,TrackT46M60Female800 Meters,Track800 MetersT46,Track800 MetersT46M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M50,Male,DS,1/27/2014,1/27/2014,TrackT46M50Male800 Meters,Track800 MetersT46,Track800 MetersT46M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M50,Female,DS,1/27/2014,1/27/2014,TrackT46M50Female800 Meters,Track800 MetersT46,Track800 MetersT46M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M35,Male,DS,1/27/2014,1/27/2014,TrackT46M35Male800 Meters,Track800 MetersT46,Track800 MetersT46M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,M35,Female,DS,1/27/2014,1/27/2014,TrackT46M35Female800 Meters,Track800 MetersT46,Track800 MetersT46M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,Adults,Male,DS,2/26/2003,2/3/2012,TrackT46AdultsMale800 Meters,Track800 MetersT46,Track800 MetersT46AdultsMale
Track,800 Meters,00:00.0,00:00.0,NoSD,T46,Adults,Female,DS,1/31/2012,2/3/2012,TrackT46AdultsFemale800 Meters,Track800 MetersT46,Track800 MetersT46AdultsFemale
Track,800 Meters,03:09.0,03:18.0,,T45,U23,Male,DS,,2/7/2016,TrackT45U23Male800 Meters,Track800 MetersT45,Track800 MetersT45U23Male
Track,800 Meters,03:40.0,03:51.0,,T45,U23,Female,DS,,2/7/2016,TrackT45U23Female800 Meters,Track800 MetersT45,Track800 MetersT45U23Female
Track,800 Meters,03:28.0,03:38.0,,T45,U20,Male,DS,,2/7/2016,TrackT45U20Male800 Meters,Track800 MetersT45,Track800 MetersT45U20Male
